Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,22pF,C_0402_1005Metric,134.2,-106.585,90,top
C2,22pF,C_0402_1005Metric,128.6,-107.285,270,top
C3,2.2nF,C_0402_1005Metric,137,-104.6,180,top
C4,4.7pF,C_0402_1005Metric,137,-105.7,180,top
C5,1.5pF,C_0402_1005Metric,137.815,-102.4,180,top
C6,1.0pF,C_0402_1005Metric,139.4,-101.9,270,top
C7,33nF,C_0402_1005Metric,129.685,-99.1,180,top
C8,1nF,C_0402_1005Metric,131.7,-99.1,0,top
C9,10nF,C_0402_1005Metric,131.685,-98,0,top
C11,0.3pF,C_0603_1608Metric,145.3,-102.7875,90,top
C12,1pF,C_0402_1005Metric,146.7,-101.5,270,top
C13,1pF,C_0402_1005Metric,149.9,-101.515,270,top
C14,1pF,C_0402_1005Metric,151,-102.485,90,top
C15,1pF,C_0402_1005Metric,154.2,-102.485,90,top
C16,220pF,C_0402_1005Metric,143,-98.315,270,top
C17,10nF,C_0402_1005Metric,141.415,-97.7,0,top
C18,1uF,C_0402_1005Metric,141.385,-98.8,0,top
L1,8.2nH,L_0402_1005Metric,134.3,-102.885,90,top
L2,2.7nH,L_0402_1005Metric,135.4,-104.085,270,top
L3,3.9nH,L_0402_1005Metric,135.815,-102.4,0,top
L4,2.7nH,L_0402_1005Metric,148.315,-102,0,top
L5,2.7nH,L_0402_1005Metric,152.615,-102,0,top
R2,22K,R_0402_1005Metric,133.9,-98.615,90,top
R3,1K,R_0402_1005Metric,142.2,-104.985,90,top
R4,1K,R_0402_1005Metric,140.9,-104.985,90,top
R5,R_0402_1005Metric,R_0402_1005Metric,142.735,-106.5,0,top
U1,nRF24L01P,QFN-20-1EP_4x4mm_P0.5mm_EP2.5x2.5mm,131,-102.4,270,top
U2,RFX2401C,QFN50P300X300X60-17N-D,142.2,-101.7,270,top
X1,16MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,131.4,-106.9,0,top
